mensaje,etiqueta
"Hola Andrés, por favor confirma si recibiste el mensaje anterior 💰",1
Último aviso: verifica tu cuenta en https://secure.maps.info/login?t=1c6a7 📦 Contacto: 319 908 1826.,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
✅FELICIDADES Juan: bono de 39.900 COP. Reclama en https://app.universidad.co/curso?t=rl6ttzp5,1
"Hola Andrés, por favor confirma si recibiste el mensaje anterior 👍",0
"Hola Luis, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Se aprobó tu solicitud. Envía tu número de documento para continuar,1
Se aprobó tu solicitud. Envía tu número de documento para continuar Contacto: 331 883 4225.,1
"Hola Luis, ¿a qué hora nos vemos el martes para la reunión?",0
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Hola Luis, a qué hora nos vemos este fin de semana para la reunión (ref 5156)",0
Tu beneficio vence esta tarde. Reclama 249.000 COP en https://m.paqueteria.info/detalle?t=h79bimrqw2,1
"El mensajero dijo que el paquete llega la próxima semana, ojalá sin problema.",0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
"El mensajero dijo que el paquete llega el jueves, ojalá sin problema.",0
"El mensajero dijo que el paquete llega el lunes, ojalá sin problema.🙏",0
Crédito preaprobado hasta $39.900. Responde SI para info 🎁 URGENTE,1
😊FELICIDADES Sebastián: bono de $59.000 COP. Reclama en https://www.tienda.com/logint=7lql37f0zq,1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
Tu beneficio vence mañana. Reclama 29.900 COP en https://app.tienda.co/detalle?t=7klb6d24ug Contacto: 364 293 8041.,1
💳Oferta exclusiva 35% OFF. Solo hoy: https://secure.super.info/archivo?t=rqykuzpsa8,1
Tu beneficio vence el martes. Reclama 19.900 COP en https://app.promo.net/promo?t=zj1sha5qt,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 🙏,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 👍,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa?,1
Último aviso: verifica tu cuenta en https://www.super.org/pedido?t=6jz5tjtjl ✅,1
¿Viste la promo del supermercado? Hay 25% en algunos productos.,0
"Hola Juan, por favor confirma si recibiste el mensaje anterior 👍",0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
Tu beneficio vence el miércoles. Reclama $59.000 en https://www.tienda.site/link?t=fcxvf0wvwd URGENTE,1
"Estoy en Bogotá por trabajo, regreso el domingo.😊",0
"Estoy en Villavicencio por trabajo, regreso el domingo.🙏",0
"Aprovecha 35% de descuento, si te interesa te paso detalles.",0
"La factura del internet ya quedó pagada, te mando el comprobante por https://app.promo.info/curso?t=di3an🙏",0
Te comparto el enlace del drive del proyecto: https://m.paqueteria.org/login?t=qpgyac,0
¿Sigues interesado en la oferta? Quedo atento.,0
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.empleo.co/confirmar?t=t3l82dl",0
🔥Tu paquete está retenido. Confirma pago de $249.000 COP en https://www.universidad.site/archivo?t=t98qq6f41,1
Tenemos una oportunidad laboral con pago semanal. Te interesa ⚠️,1
¿Sigues interesado en la oferta? Quedo atento.,0
💰Oferta exclusiva 20% OFF. Solo hoy: https://app.tienda.site/detalle?t=lp12va,1
Confirmación requerida pa evitar el bloqueo de tu cuenta. Responde 'OK'.,1
🔥FELICIDADES Mateo: bono de 29.900 COP. Reclama en https://m.banco.site/confirmar?t=st8bh9,1
👍FELICIDADES Juan: bono de $99.000. Reclama en https://m.drive.info/link?t=6h3imy Contacto: 362 686 4471.,1
Alerta banco: intento de compra. Confirma en https://promo.info/invitacion?t=3xammxtwg 💳,1
Último aviso: verifica tu cuenta en https://m.maps.net/promo?t=9lx3lus4el 👍,1
¿Puedes revisar el documento y decirme si está listo para enviar?😊,0
"Hola Camila, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Crédito preaprobado hasta 14.900 COP. Responde SI para info 💰,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.empleo.com/archivot=vk51825",0
📦Tu paquete está retenido. Confirma pago de 59.000 COP en https://app.empleo.com/archivo?t=5uaebdvo8 Contacto: 329 915 9529. URGENTE,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://app.paqueteria.co/invitacion?t=73u8hlem (ref 9486)",0
"Voy en camino, llego en 15 minutos.",0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
Crédito preaprobado hasta $99.000. Responde SI para info 🎁,1
Crédito preaprobado hasta 399.000 COP. Responde SI para info ⚠️ Contacto: 379 281 6549.,1
¿Viste la promo del supermercado? Hay 50% en algunos productos.,1
Alerta banco: intento de compra. Confirma en https://meet.info/link?t=yvm65s 💳,1
Aquí está el link del curso para el miércoles: https://m.soporte.net/confirmar?t=o1og7tf19y,0
